time,backbone,protein,rank_6_ligand
0,0.0,0.0,0.0
1,0.56,0.79,0.42
2,0.65,0.9,0.68
3,0.7,0.96,0.61
4,0.77,1.08,0.74
5,0.82,1.15,0.62
6,0.85,1.18,0.69
7,0.83,1.19,1.02
8,0.87,1.22,0.79
9,0.91,1.25,0.64
10,0.91,1.24,0.93
11,0.95,1.29,1.17
12,0.92,1.29,0.87
13,0.93,1.29,1.24
14,0.95,1.34,1.31
15,0.95,1.34,1.09
16,0.94,1.33,1.09
17,0.95,1.34,1.2
18,1.0,1.39,1.23
19,1.0,1.39,1.15
20,1.09,1.47,1.31
21,1.12,1.5,0.76
22,1.15,1.54,0.92
23,1.16,1.51,0.86
24,1.13,1.52,0.89
25,1.1,1.5,1.04
26,1.16,1.56,1.1
27,1.17,1.55,0.99
28,1.23,1.59,0.96
29,1.17,1.56,0.88
30,1.19,1.55,0.74
31,1.18,1.56,0.96
32,1.17,1.56,1.01
33,1.18,1.56,1.06
34,1.18,1.58,1.14
35,1.15,1.57,1.14
36,1.19,1.58,1.34
37,1.22,1.62,1.9
38,1.18,1.59,2.24
39,1.2,1.6,2.46
40,1.29,1.68,2.83
41,1.29,1.67,2.65
42,1.32,1.74,2.58
43,1.28,1.72,3.37
44,1.3,1.71,3.1
45,1.29,1.72,2.67
46,1.31,1.71,2.99
47,1.28,1.71,2.95
48,1.32,1.76,2.91
49,1.29,1.7,2.94
50,1.15,1.62,2.65
51,1.24,1.68,2.63
52,1.29,1.71,2.8
53,1.32,1.75,3.18
54,1.32,1.74,2.75
55,1.26,1.71,2.67
56,1.29,1.74,2.73
57,1.34,1.77,3.04
58,1.24,1.73,3.08
59,1.32,1.78,3.09
60,1.34,1.79,2.95
61,1.36,1.81,3.08
62,1.34,1.79,3.15
63,1.3,1.76,3.09
64,1.35,1.79,3.33
65,1.28,1.77,3.28
66,1.28,1.75,3.1
67,1.33,1.79,3.17
68,1.3,1.76,3.33
69,1.35,1.78,3.05
70,1.32,1.78,3.6
71,1.37,1.8,3.17
72,1.36,1.82,2.87
73,1.42,1.86,3.29
74,1.39,1.83,2.98
75,1.39,1.85,3.08
76,1.38,1.83,3.44
77,1.41,1.88,3.84
78,1.44,1.89,3.62
79,1.41,1.89,3.76
80,1.38,1.85,3.64
81,1.39,1.84,3.42
82,1.39,1.84,3.54
83,1.42,1.86,3.57
84,1.36,1.82,3.56
85,1.43,1.87,3.9
86,1.42,1.87,3.72
87,1.35,1.83,3.68
88,1.38,1.85,3.54
89,1.34,1.8,3.44
90,1.34,1.81,3.18
91,1.38,1.84,2.9
92,1.35,1.83,3.08
93,1.31,1.8,3.08
94,1.34,1.82,3.08
95,1.31,1.81,3.05
96,1.37,1.84,3.03
97,1.4,1.87,2.94
98,1.36,1.84,3.18
99,1.31,1.81,3.18
