time,backbone,protein,rank_1_ligand
0,0.0,0.0,0.0
1,0.64,0.84,1.33
2,0.77,0.98,1.44
3,0.77,1.04,2.42
4,0.81,1.09,2.34
5,0.88,1.15,1.99
6,0.88,1.15,2.54
7,0.97,1.24,2.44
8,0.91,1.23,2.01
9,0.93,1.25,1.85
10,0.97,1.26,2.02
11,0.96,1.26,2.02
12,0.97,1.29,2.38
13,1.02,1.33,2.35
14,1.0,1.35,2.11
15,1.03,1.36,2.14
16,1.04,1.36,2.18
17,1.04,1.37,2.46
18,1.09,1.43,2.59
19,1.06,1.42,2.66
20,1.07,1.42,2.47
21,1.02,1.39,2.58
22,1.08,1.43,2.79
23,1.14,1.47,2.69
24,1.06,1.43,2.73
25,1.07,1.45,2.74
26,1.06,1.43,2.71
27,1.1,1.5,2.66
28,1.11,1.49,2.69
29,1.08,1.47,2.77
30,1.02,1.43,2.74
31,1.03,1.44,3.07
32,1.01,1.44,2.63
33,1.01,1.45,2.61
34,1.07,1.47,2.51
35,1.06,1.48,2.82
36,1.02,1.43,2.93
37,1.04,1.46,2.9
38,1.03,1.46,2.87
39,1.0,1.44,3.3
40,1.03,1.46,3.05
41,0.99,1.44,3.35
42,1.06,1.51,3.4
43,1.06,1.5,3.51
44,1.0,1.46,3.4
45,1.03,1.49,3.29
46,1.03,1.49,3.5
47,1.09,1.55,3.44
48,1.11,1.56,3.48
49,1.07,1.54,3.45
50,1.08,1.54,3.38
51,1.12,1.58,3.61
52,1.11,1.58,3.67
53,1.15,1.59,3.5
54,1.19,1.63,3.64
55,1.2,1.64,3.65
56,1.14,1.6,3.98
57,1.17,1.61,3.91
58,1.16,1.63,4.09
59,1.2,1.67,4.22
60,1.21,1.68,4.09
61,1.25,1.7,3.81
62,1.2,1.68,3.91
63,1.18,1.65,3.78
64,1.24,1.68,4.52
65,1.29,1.74,4.31
66,1.24,1.7,3.97
67,1.26,1.74,3.86
68,1.23,1.71,4.22
69,1.23,1.72,4.48
70,1.23,1.71,5.07
71,1.19,1.67,4.73
72,1.26,1.71,4.55
73,1.18,1.67,4.67
74,1.22,1.68,5.54
75,1.2,1.69,5.79
76,1.21,1.7,5.66
77,1.22,1.71,6.2
78,1.31,1.76,5.89
79,1.26,1.73,6.41
80,1.26,1.75,6.0
81,1.32,1.82,6.55
82,1.33,1.82,6.45
83,1.35,1.85,6.12
84,1.27,1.79,6.3
85,1.28,1.77,6.45
86,1.21,1.72,5.98
87,1.21,1.73,5.65
88,1.2,1.73,5.65
89,1.19,1.71,5.83
90,1.21,1.72,6.2
91,1.22,1.76,5.79
92,1.22,1.78,5.91
93,1.18,1.74,5.63
94,1.17,1.75,6.03
95,1.19,1.77,5.98
96,1.23,1.79,5.72
97,1.19,1.73,6.07
98,1.23,1.76,6.13
99,1.3,1.82,6.27
