time,backbone,protein,rank_2_ligand
0,0.0,0.0,0.0
1,0.6,0.83,0.77
2,0.69,0.92,0.84
3,0.76,1.02,0.99
4,0.86,1.11,0.92
5,0.9,1.14,1.4
6,0.98,1.25,1.33
7,0.98,1.25,1.34
8,1.01,1.28,1.11
9,1.08,1.33,1.18
10,1.08,1.35,1.06
11,1.11,1.4,1.26
12,1.16,1.45,1.22
13,1.2,1.47,1.24
14,1.16,1.43,1.16
15,1.13,1.46,1.07
16,1.13,1.47,1.54
17,1.19,1.52,1.2
18,1.24,1.56,1.78
19,1.27,1.57,1.5
20,1.29,1.62,1.59
21,1.35,1.66,1.54
22,1.34,1.64,2.08
23,1.36,1.65,1.48
24,1.38,1.65,1.68
25,1.33,1.63,1.36
26,1.3,1.64,1.36
27,1.32,1.64,1.33
28,1.37,1.66,1.7
29,1.3,1.64,2.03
30,1.29,1.63,1.87
31,1.32,1.68,2.16
32,1.25,1.59,1.93
33,1.3,1.64,1.61
34,1.31,1.64,1.75
35,1.34,1.67,1.95
36,1.35,1.69,1.88
37,1.36,1.7,1.78
38,1.38,1.7,1.71
39,1.42,1.74,1.73
40,1.45,1.78,1.61
41,1.46,1.79,1.46
42,1.45,1.78,1.65
43,1.41,1.76,1.81
44,1.41,1.77,1.73
45,1.46,1.81,1.64
46,1.4,1.76,1.63
47,1.42,1.77,1.7
48,1.42,1.78,1.61
49,1.41,1.78,1.98
50,1.43,1.8,1.52
51,1.49,1.84,1.77
52,1.44,1.8,1.69
53,1.45,1.8,1.49
54,1.44,1.8,1.67
55,1.38,1.75,2.05
56,1.3,1.7,1.9
57,1.37,1.75,1.93
58,1.31,1.71,1.75
59,1.35,1.74,1.54
60,1.36,1.76,1.64
61,1.36,1.74,1.74
62,1.37,1.75,1.31
63,1.34,1.73,1.62
64,1.31,1.73,1.36
65,1.32,1.73,1.36
66,1.38,1.77,1.88
67,1.38,1.76,1.77
68,1.37,1.75,1.88
69,1.4,1.77,2.13
70,1.38,1.74,1.9
71,1.31,1.68,2.18
72,1.37,1.72,1.79
73,1.35,1.72,2.02
74,1.35,1.71,2.23
75,1.34,1.71,2.05
76,1.34,1.71,1.61
77,1.29,1.66,1.58
78,1.39,1.74,1.72
79,1.43,1.77,1.91
80,1.42,1.77,1.86
81,1.39,1.74,1.83
82,1.43,1.79,2.24
83,1.35,1.75,1.72
84,1.4,1.77,1.63
85,1.39,1.77,1.53
86,1.39,1.79,1.88
87,1.33,1.74,1.98
88,1.38,1.77,2.22
89,1.37,1.76,1.91
90,1.37,1.77,1.94
91,1.35,1.73,2.09
92,1.36,1.77,2.16
93,1.36,1.74,2.31
94,1.31,1.71,2.55
95,1.34,1.74,2.61
96,1.35,1.74,2.48
97,1.37,1.77,2.02
98,1.39,1.78,2.53
99,1.45,1.83,2.35
