time,backbone,protein,rank_10_ligand
0,0.0,0.0,0.0
1,0.57,0.77,0.6
2,0.73,1.0,1.15
3,0.74,1.02,1.43
4,0.83,1.15,1.28
5,0.86,1.16,1.39
6,0.85,1.19,1.79
7,0.89,1.23,1.97
8,0.85,1.19,1.75
9,0.91,1.28,1.7
10,0.86,1.23,1.92
11,0.99,1.33,1.92
12,0.97,1.34,1.67
13,0.96,1.35,1.82
14,1.01,1.38,1.55
15,1.03,1.4,1.52
16,1.02,1.38,1.54
17,1.04,1.39,1.49
18,1.07,1.44,1.94
19,1.1,1.46,1.43
20,1.1,1.45,1.49
21,1.05,1.43,1.43
22,0.98,1.39,1.56
23,1.03,1.42,1.67
24,1.08,1.44,1.71
25,1.09,1.46,1.88
26,1.14,1.51,2.01
27,1.09,1.49,1.81
28,1.05,1.43,1.92
29,1.06,1.45,1.66
30,1.16,1.52,1.75
31,1.11,1.49,1.58
32,1.06,1.43,1.57
33,1.13,1.51,1.79
34,1.17,1.53,1.7
35,1.21,1.57,1.95
36,1.15,1.52,2.15
37,1.21,1.57,1.96
38,1.19,1.55,1.49
39,1.21,1.56,1.67
40,1.19,1.55,1.61
41,1.22,1.57,1.85
42,1.24,1.61,1.55
43,1.22,1.59,1.64
44,1.31,1.67,1.91
45,1.33,1.68,2.09
46,1.32,1.68,1.47
47,1.34,1.69,1.61
48,1.33,1.68,1.62
49,1.41,1.74,1.48
50,1.32,1.68,1.63
51,1.37,1.71,1.9
52,1.35,1.69,1.6
53,1.37,1.72,1.71
54,1.42,1.76,1.79
55,1.48,1.82,2.02
56,1.42,1.8,2.07
57,1.43,1.8,1.61
58,1.49,1.85,1.71
59,1.49,1.86,1.8
60,1.47,1.84,2.22
61,1.43,1.81,1.98
62,1.44,1.82,1.99
63,1.47,1.85,1.85
64,1.45,1.85,1.95
65,1.43,1.83,1.68
66,1.49,1.87,2.61
67,1.44,1.83,3.02
68,1.45,1.85,2.89
69,1.44,1.87,2.72
70,1.47,1.87,2.73
71,1.53,1.94,2.5
72,1.54,1.94,2.78
73,1.51,1.91,2.56
74,1.52,1.91,2.38
75,1.54,1.92,2.76
76,1.5,1.92,3.28
77,1.52,1.92,2.65
78,1.55,1.91,2.52
79,1.57,1.94,2.16
80,1.56,1.94,2.45
81,1.56,1.97,2.48
82,1.64,2.02,2.72
83,1.58,1.98,3.01
84,1.57,1.99,3.16
85,1.54,1.96,3.09
86,1.57,1.97,2.77
87,1.57,1.99,2.4
88,1.58,1.99,2.19
89,1.66,2.06,2.04
90,1.63,2.04,2.1
91,1.59,2.01,2.57
92,1.63,2.04,2.55
93,1.63,2.06,2.18
94,1.72,2.13,2.76
95,1.7,2.08,3.33
96,1.68,2.08,2.84
97,1.65,2.05,2.75
98,1.62,2.03,2.58
99,1.67,2.06,2.42
