time,backbone,protein,rank_8_ligand
0,0.0,0.0,0.0
1,0.59,0.79,0.83
2,0.73,0.97,1.01
3,0.78,1.02,1.33
4,0.81,1.1,1.19
5,0.82,1.1,1.48
6,0.92,1.2,1.43
7,0.95,1.25,1.22
8,0.96,1.24,1.08
9,1.09,1.34,1.27
10,1.01,1.33,1.04
11,0.98,1.3,1.1
12,1.0,1.29,1.34
13,0.99,1.3,1.5
14,1.01,1.33,1.44
15,1.0,1.33,1.78
16,0.99,1.32,1.97
17,1.03,1.37,1.87
18,1.07,1.4,1.82
19,1.07,1.39,1.93
20,1.1,1.45,1.99
21,1.1,1.44,2.12
22,1.14,1.51,2.47
23,1.14,1.5,2.09
24,1.14,1.52,2.25
25,1.13,1.5,2.25
26,1.19,1.54,2.3
27,1.16,1.52,2.32
28,1.16,1.56,2.26
29,1.16,1.54,2.25
30,1.23,1.59,1.86
31,1.3,1.65,2.28
32,1.27,1.61,2.32
33,1.24,1.58,2.37
34,1.25,1.59,2.35
35,1.34,1.69,2.27
36,1.26,1.66,2.22
37,1.27,1.68,2.28
38,1.24,1.64,2.43
39,1.27,1.67,2.45
40,1.26,1.68,2.28
41,1.24,1.66,2.53
42,1.19,1.63,2.19
43,1.29,1.71,2.44
44,1.24,1.67,2.43
45,1.29,1.71,2.55
46,1.28,1.68,2.61
47,1.29,1.72,2.36
48,1.26,1.68,2.34
49,1.31,1.73,2.33
50,1.34,1.72,2.35
51,1.28,1.72,1.94
52,1.3,1.7,1.7
53,1.3,1.73,1.74
54,1.32,1.73,1.76
55,1.36,1.78,1.94
56,1.43,1.84,2.08
57,1.42,1.82,2.16
58,1.39,1.81,1.79
59,1.41,1.83,1.91
60,1.4,1.81,2.16
61,1.35,1.79,2.35
62,1.38,1.79,1.93
63,1.28,1.73,2.04
64,1.3,1.75,2.19
65,1.32,1.78,2.21
66,1.34,1.78,2.22
67,1.4,1.83,2.0
68,1.38,1.83,2.56
69,1.34,1.8,2.51
70,1.38,1.81,2.62
71,1.37,1.79,2.51
72,1.35,1.78,2.26
73,1.44,1.86,2.18
74,1.5,1.9,2.23
75,1.49,1.89,2.03
76,1.53,1.93,1.81
77,1.56,1.95,2.0
78,1.58,1.97,1.91
79,1.53,1.91,1.95
80,1.51,1.93,2.25
81,1.53,1.94,2.6
82,1.56,1.99,2.49
83,1.57,1.99,2.55
84,1.57,1.99,2.68
85,1.49,1.93,2.69
86,1.47,1.92,2.52
87,1.52,1.97,2.53
88,1.49,1.94,2.55
89,1.46,1.89,2.7
90,1.45,1.93,2.53
91,1.57,1.99,2.55
92,1.52,1.96,2.65
93,1.57,2.0,2.82
94,1.58,1.99,2.81
95,1.6,2.03,2.67
96,1.54,1.99,2.68
97,1.48,1.94,2.6
98,1.54,1.98,3.06
99,1.55,1.99,3.46
