time,backbone,protein,rank_7_ligand
0,0.0,0.0,0.0
1,0.6,0.82,1.54
2,0.69,0.94,2.62
3,0.78,1.05,2.76
4,0.84,1.09,2.8
5,0.87,1.18,3.06
6,0.9,1.21,3.36
7,0.92,1.3,3.69
8,0.97,1.34,3.32
9,1.02,1.38,3.39
10,1.11,1.47,3.5
11,1.12,1.49,3.71
12,1.05,1.44,3.55
13,1.07,1.45,3.81
14,1.09,1.48,3.7
15,1.12,1.51,3.67
16,1.14,1.51,4.19
17,1.12,1.49,4.39
18,1.09,1.48,4.74
19,1.12,1.53,4.74
20,1.1,1.51,4.49
21,1.06,1.48,4.39
22,1.09,1.49,4.79
23,1.15,1.55,4.72
24,1.18,1.57,4.69
25,1.22,1.62,4.67
26,1.23,1.63,4.66
27,1.22,1.62,4.77
28,1.32,1.7,4.64
29,1.33,1.72,4.47
30,1.29,1.71,4.71
31,1.37,1.75,4.54
32,1.32,1.73,4.42
33,1.3,1.71,4.64
34,1.32,1.72,4.53
35,1.33,1.74,4.95
36,1.33,1.76,5.13
37,1.27,1.7,5.04
38,1.35,1.78,4.6
39,1.41,1.81,4.76
40,1.39,1.83,4.45
41,1.43,1.83,4.55
42,1.49,1.89,4.87
43,1.48,1.87,4.48
44,1.45,1.84,4.44
45,1.45,1.84,4.57
46,1.48,1.87,4.71
47,1.46,1.88,4.25
48,1.47,1.89,4.4
49,1.45,1.88,4.62
50,1.52,1.96,4.57
51,1.46,1.88,4.7
52,1.49,1.92,4.47
53,1.45,1.9,4.83
54,1.52,1.95,4.72
55,1.62,2.01,4.94
56,1.59,2.0,5.34
57,1.6,1.98,5.69
58,1.57,1.98,6.13
59,1.72,2.09,5.55
60,1.76,2.13,5.31
61,1.75,2.13,5.29
62,1.74,2.13,5.47
63,1.82,2.19,5.29
64,1.79,2.16,5.57
65,1.75,2.13,5.63
66,1.78,2.17,5.63
67,1.8,2.18,5.76
68,1.74,2.15,5.48
69,1.76,2.15,5.49
70,1.72,2.13,5.7
71,1.72,2.11,6.34
72,1.74,2.13,5.93
73,1.72,2.12,6.04
74,1.76,2.18,6.02
75,1.79,2.2,6.07
76,1.78,2.2,6.23
77,1.8,2.22,6.07
78,1.74,2.16,5.71
79,1.83,2.22,6.04
80,1.85,2.21,6.59
81,1.85,2.24,6.35
82,1.77,2.17,6.57
83,1.71,2.12,7.23
84,1.67,2.1,7.09
85,1.65,2.11,6.75
86,1.59,2.04,6.68
87,1.67,2.08,6.08
88,1.72,2.13,6.15
89,1.77,2.17,5.83
90,1.8,2.2,5.87
91,1.84,2.22,6.18
92,1.78,2.2,5.9
93,1.8,2.22,6.04
94,1.87,2.26,6.12
95,1.86,2.24,5.93
96,1.89,2.28,5.98
97,1.94,2.35,5.72
98,1.91,2.3,5.59
99,1.91,2.31,5.76
