time,backbone,protein,rank_5_ligand
0,0.0,0.0,0.0
1,0.54,0.77,0.97
2,0.71,0.98,0.66
3,0.83,1.08,0.81
4,0.87,1.12,1.1
5,1.0,1.24,1.16
6,1.02,1.32,1.46
7,1.06,1.38,1.91
8,1.08,1.36,1.91
9,1.08,1.38,1.93
10,1.07,1.4,1.94
11,1.11,1.41,1.84
12,1.05,1.38,1.73
13,1.12,1.42,1.89
14,1.17,1.45,1.91
15,1.09,1.42,1.86
16,1.15,1.48,1.63
17,1.09,1.43,1.3
18,1.09,1.45,1.46
19,1.07,1.42,1.5
20,1.15,1.48,1.33
21,1.14,1.48,1.63
22,1.14,1.48,1.48
23,1.21,1.54,2.12
24,1.2,1.55,2.13
25,1.21,1.55,2.06
26,1.25,1.58,2.0
27,1.24,1.58,2.0
28,1.17,1.53,1.77
29,1.17,1.55,2.06
30,1.31,1.64,2.13
31,1.28,1.65,2.13
32,1.3,1.65,2.22
33,1.32,1.69,1.78
34,1.24,1.64,2.06
35,1.25,1.63,2.14
36,1.16,1.57,2.28
37,1.23,1.6,2.85
38,1.23,1.61,3.2
39,1.31,1.68,2.97
40,1.27,1.65,3.23
41,1.27,1.65,3.2
42,1.27,1.66,2.79
43,1.35,1.72,3.12
44,1.35,1.74,2.79
45,1.37,1.74,2.25
46,1.37,1.74,2.74
47,1.42,1.77,2.98
48,1.43,1.78,3.4
49,1.44,1.78,3.66
50,1.44,1.8,3.29
51,1.45,1.8,3.1
52,1.47,1.81,3.32
53,1.45,1.8,3.21
54,1.47,1.79,3.3
55,1.4,1.74,3.01
56,1.38,1.74,3.32
57,1.35,1.71,3.21
58,1.36,1.71,3.27
59,1.39,1.74,3.17
60,1.27,1.65,3.47
61,1.25,1.65,3.29
62,1.33,1.69,2.95
63,1.32,1.68,3.08
64,1.28,1.66,2.82
65,1.36,1.7,2.82
66,1.35,1.71,2.27
67,1.33,1.69,2.49
68,1.32,1.7,2.49
69,1.3,1.7,2.44
70,1.26,1.64,2.32
71,1.28,1.67,2.45
72,1.34,1.74,2.23
73,1.3,1.71,2.56
74,1.27,1.68,2.64
75,1.27,1.69,2.59
76,1.29,1.66,2.82
77,1.3,1.7,3.21
78,1.32,1.72,2.88
79,1.36,1.74,2.34
80,1.37,1.76,2.22
81,1.45,1.81,2.04
82,1.42,1.8,2.54
83,1.39,1.79,2.48
84,1.4,1.82,2.74
85,1.42,1.83,2.67
86,1.47,1.85,2.35
87,1.43,1.84,2.91
88,1.43,1.83,3.0
89,1.4,1.81,3.18
90,1.45,1.87,3.34
91,1.43,1.85,2.89
92,1.45,1.88,3.21
93,1.45,1.87,3.33
94,1.42,1.87,3.04
95,1.44,1.89,2.57
96,1.5,1.94,2.7
97,1.52,1.95,2.82
98,1.58,2.01,2.56
99,1.61,2.02,2.46
