time,backbone,protein,rank_9_ligand
0,0.0,0.0,0.0
1,0.73,0.92,0.81
2,0.83,1.0,1.19
3,0.9,1.11,1.7
4,1.0,1.24,1.88
5,1.03,1.28,2.03
6,1.05,1.34,2.17
7,1.13,1.4,2.37
8,1.12,1.4,2.4
9,1.15,1.45,2.47
10,1.16,1.45,2.75
11,1.18,1.46,2.8
12,1.24,1.54,2.57
13,1.25,1.55,2.4
14,1.24,1.56,2.93
15,1.2,1.53,2.54
16,1.27,1.58,2.78
17,1.27,1.59,2.73
18,1.3,1.61,2.53
19,1.32,1.67,2.47
20,1.3,1.66,2.73
21,1.37,1.72,2.67
22,1.36,1.71,2.77
23,1.37,1.71,2.86
24,1.35,1.7,2.84
25,1.36,1.7,2.99
26,1.41,1.77,3.11
27,1.43,1.76,2.83
28,1.45,1.82,3.22
29,1.46,1.84,3.01
30,1.47,1.84,2.67
31,1.44,1.81,2.73
32,1.46,1.82,2.57
33,1.44,1.82,2.39
34,1.42,1.8,2.47
35,1.53,1.89,2.53
36,1.46,1.85,2.67
37,1.5,1.91,2.42
38,1.5,1.9,2.89
39,1.5,1.89,2.59
40,1.54,1.93,2.57
41,1.52,1.93,2.57
42,1.47,1.87,2.67
43,1.53,1.92,2.55
44,1.56,1.96,2.61
45,1.55,1.96,2.7
46,1.53,1.93,2.92
47,1.57,1.95,2.68
48,1.56,1.96,2.72
49,1.63,2.03,2.87
50,1.67,2.05,2.97
51,1.71,2.07,2.58
52,1.65,2.05,2.67
53,1.63,2.03,2.61
54,1.7,2.09,2.93
55,1.68,2.07,2.66
56,1.68,2.05,2.83
57,1.69,2.09,2.78
58,1.67,2.08,2.85
59,1.6,2.03,2.74
60,1.67,2.09,2.76
61,1.65,2.07,2.66
62,1.59,2.02,2.68
63,1.68,2.09,2.97
64,1.62,2.06,2.85
65,1.63,2.09,2.76
66,1.65,2.1,2.8
67,1.64,2.09,2.74
68,1.62,2.07,2.45
69,1.67,2.12,2.66
70,1.77,2.17,2.57
71,1.81,2.21,2.68
72,1.77,2.19,2.31
73,1.85,2.26,2.85
74,1.83,2.22,2.87
75,1.81,2.21,2.81
76,1.82,2.24,2.81
77,1.82,2.23,2.81
78,1.86,2.26,2.95
79,1.84,2.27,3.11
80,1.81,2.24,3.07
81,1.76,2.17,2.76
82,1.72,2.15,2.76
83,1.76,2.17,2.85
84,1.82,2.24,2.6
85,1.81,2.25,2.6
86,1.88,2.25,2.77
87,1.88,2.28,2.97
88,1.86,2.27,2.78
89,1.87,2.27,2.63
90,1.93,2.31,2.77
91,1.89,2.27,2.67
92,1.86,2.25,2.55
93,1.98,2.35,2.52
94,1.91,2.31,2.95
95,1.94,2.31,2.89
96,1.99,2.35,2.89
97,1.96,2.31,2.88
98,1.94,2.3,2.57
99,1.91,2.29,2.7
